,osurl,ht_link,ht_matched,htid_count,year,title,subject_no
38,"https://explorer-api.opensyllabus.org/v1/works/38706245274697.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674992085.json,True,1,['1926'],['Philippics : with an English translation'],0
39,"https://explorer-api.opensyllabus.org/v1/works/7507602833488.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0404079016.json,False,0,0,,0
40,"https://explorer-api.opensyllabus.org/v1/works/7507602833492.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0404079016.json,False,0,0,,0
41,"https://explorer-api.opensyllabus.org/v1/works/50586124813748.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/8876535888.json,False,0,0,,0
42,"https://explorer-api.opensyllabus.org/v1/works/50431505992287.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0521412455.json,False,0,0,,0
43,"https://explorer-api.opensyllabus.org/v1/works/7507602833424.json
",https://catalog.hathitrust.org/api/volumes/full/recordnumber/009789760.json,True,1,['1829'],['Aeschyli Prometheus vinctus : ad fidem manuscriptorum emendavit notas et glossarium adjecit Carolu Jacobus Blomfield'],0
44,"https://explorer-api.opensyllabus.org/v1/works/7670811757523.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781009183031.json,False,0,0,,0
45,"https://explorer-api.opensyllabus.org/v1/works/37460704757540.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781421421131.json,False,0,0,,0
46,"https://explorer-api.opensyllabus.org/v1/works/60112362275802.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781421421131.json,False,0,0,,0
47,"https://explorer-api.opensyllabus.org/v1/works/36713380446476.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780500204542.json,False,0,0,,0
48,"https://explorer-api.opensyllabus.org/v1/works/33045478377342.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0810933691.json,True,1,['1993'],['Greek art and archaeology'],0
