,osurl,subject
76,"https://explorer-api.opensyllabus.org/v1/works/51419348468125.json
",Sex customs
77,"https://explorer-api.opensyllabus.org/v1/works/51419348468125.json
",Women
78,"https://explorer-api.opensyllabus.org/v1/works/51419348468125.json
",Greece
79,"https://explorer-api.opensyllabus.org/v1/works/51419348468125.json
",Athens (Greece)
80,"https://explorer-api.opensyllabus.org/v1/works/8211977638731.json
",Latin drama (Comedy)
81,"https://explorer-api.opensyllabus.org/v1/works/56083682953975.json
",Latin drama (Comedy)
82,"https://explorer-api.opensyllabus.org/v1/works/52458730555302.json
",Women
83,"https://explorer-api.opensyllabus.org/v1/works/52458730555302.json
",Women
84,"https://explorer-api.opensyllabus.org/v1/works/52458730555302.json
",Women
85,"https://explorer-api.opensyllabus.org/v1/works/7507602833430.json
",Electra (Greek mythology)
86,"https://explorer-api.opensyllabus.org/v1/works/40845138985675.json
",Greek drama
87,"https://explorer-api.opensyllabus.org/v1/works/40845138985675.json
",Theater
88,"https://explorer-api.opensyllabus.org/v1/works/40845138985675.json
",Athens (Greece)
89,"https://explorer-api.opensyllabus.org/v1/works/40845138985675.json
",Athens (Greece)
90,"https://explorer-api.opensyllabus.org/v1/works/54606214203969.json
",Greek drama (Tragedy)
91,"https://explorer-api.opensyllabus.org/v1/works/7997229599999.json
","Civilization, Ancient"
92,"https://explorer-api.opensyllabus.org/v1/works/7997229599999.json
",Theater
93,"https://explorer-api.opensyllabus.org/v1/works/7997229599999.json
",Theater
94,"https://explorer-api.opensyllabus.org/v1/works/7997229599999.json
",Classical drama
95,"https://explorer-api.opensyllabus.org/v1/works/73160472929989.json
",Bible.
96,"https://explorer-api.opensyllabus.org/v1/works/73160472929989.json
","Greek language, Biblical"
97,"https://explorer-api.opensyllabus.org/v1/works/8907762628042.json
","Odysseus,"
98,"https://explorer-api.opensyllabus.org/v1/works/8907762628042.json
","Epic poetry, Greek."
99,"https://explorer-api.opensyllabus.org/v1/works/50783693311029.json
",Excavations (Archaeology)
100,"https://explorer-api.opensyllabus.org/v1/works/50783693311029.json
",Greece
101,"https://explorer-api.opensyllabus.org/v1/works/55834574850633.json
",Aristotle.
102,"https://explorer-api.opensyllabus.org/v1/works/55834574850633.json
",Greek drama (Tragedy)
103,"https://explorer-api.opensyllabus.org/v1/works/7876970527987.json
",Myth.
104,"https://explorer-api.opensyllabus.org/v1/works/7876970527987.json
","Mythology, Greek."
105,"https://explorer-api.opensyllabus.org/v1/works/7876970527987.json
",Greece
106,"https://explorer-api.opensyllabus.org/v1/works/7876970527987.json
",Greece
107,"https://explorer-api.opensyllabus.org/v1/works/7507602833456.json
",Great books of the Western world
